Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-06-20,Andaman and Nicobar Islands,47,35,0,0,13320.0
2020-06-20,Andhra Pradesh,8452,4111,101,0,652377.0
2020-06-20,Arunachal Pradesh,135,15,0,0,18521.0
2020-06-20,Assam,5255,3203,9,3,273047.0
2020-06-20,Bihar,7503,5367,49,0,151148.0
2020-06-20,Chandigarh,404,316,6,0,6578.0
2020-06-20,Chhattisgarh,2134,1368,11,0,123983.0
2020-06-20,Delhi,56746,31294,2112,0,351909.0
2020-06-20,Dadra and Nagar Haveli and Daman and Diu,92,26,0,0,27617.0
2020-06-20,Goa,754,129,0,0,51404.0
2020-06-20,Gujarat,26737,18702,1639,0,319414.0
2020-06-20,Himachal Pradesh,656,405,7,13,62580.0
2020-06-20,Haryana,10223,5128,149,0,212430.0
2020-06-20,Jharkhand,2024,1404,11,0,120892.0
2020-06-20,Jammu and Kashmir,5834,3336,81,0,301209.0
2020-06-20,Karnataka,8697,5393,132,4,493893.0
2020-06-20,Kerala,3040,1566,22,2,178559.0
2020-06-20,Ladakh,836,117,1,0,12838.0
2020-06-20,Maharashtra,128205,64153,5984,14,756809.0
2020-06-20,Meghalaya,43,32,1,0,15346.0
2020-06-20,Manipur,777,232,0,0,32093.0
2020-06-20,Madhya Pradesh,11724,8880,501,0,290831.0
2020-06-20,Mizoram,140,9,0,0,8284.0
2020-06-20,Nagaland,201,138,0,0,9128.0
2020-06-20,Odisha,4856,3534,15,0,219774.0
2020-06-20,Punjab,3952,2678,98,0,235700.0
2020-06-20,Puducherry,338,131,7,0,12409.0
2020-06-20,Rajasthan,14537,11274,337,0,683017.0
2020-06-20,Sikkim,70,21,0,0,7183.0
2020-06-20,Telangana,7072,3506,203,0,53757.0
2020-06-20,Tamil Nadu,56845,31316,704,0,861211.0
2020-06-20,Tripura,1189,680,1,0,53905.0
2020-06-20,India,411750,228183,13277,51,6807226.0
2020-06-20,State Unassigned,9265,0,0,0,
2020-06-20,Uttar Pradesh,17135,10369,529,0,542972.0
2020-06-20,Uttarakhand,2301,1450,27,15,54512.0
2020-06-20,West Bengal,13531,7865,540,0,390942.0
2020-06-21,Andaman and Nicobar Islands,48,37,0,0,13434.0
2020-06-21,Andhra Pradesh,8929,4307,106,0,676828.0
2020-06-21,Arunachal Pradesh,139,21,0,0,19154.0
2020-06-21,Assam,5587,3405,9,3,288306.0
2020-06-21,Bihar,7665,5631,51,0,156926.0
2020-06-21,Chandigarh,406,316,6,0,6677.0
2020-06-21,Chhattisgarh,2255,1421,11,0,126246.0
2020-06-21,Delhi,59746,33013,2175,0,370014.0
2020-06-21,Dadra and Nagar Haveli and Daman and Diu,97,27,0,0,27839.0
2020-06-21,Goa,818,135,0,0,52301.0
2020-06-21,Gujarat,27317,19357,1664,0,324874.0
2020-06-21,Himachal Pradesh,673,417,7,13,64338.0
2020-06-21,Haryana,10635,5557,160,0,217797.0
2020-06-21,Jharkhand,2098,1406,11,0,121770.0
2020-06-21,Jammu and Kashmir,5956,3382,82,0,307638.0
